Hora,interval_time,distancia,velocidad,tiempo,aceleracion,p_distancia
2023-04-23 21:00:00,0.891566265060241,0.03992168674698795,0.42423493975903614,0.3708433734939759,-0.7353403760150603,0.03985079518072289
2023-04-23 22:00:00,0.7374301675977654,0.012787709497206704,0.12948603351955307,0.32356983240223464,-0.265466202726257,0.012777251396648044
2023-04-23 23:00:00,0.9668508287292817,0.010955801104972376,0.1084806629834254,0.2622817679558011,-0.23301762588618782,0.010947779005524861
2023-04-24 00:00:00,0.9777777777777777,0.02266666666666667,0.14750555555555556,0.3168,1.19536791748,0.022651516666666666
2023-04-24 01:00:00,0.8362573099415205,0.00897076023391813,0.0806783625730994,0.2778187134502924,2.8754765947543857,0.008975187134502923
2023-04-24 02:00:00,0.8904109589041096,0.010547945205479452,0.12553424657534246,0.28354109589041093,0.25547617994041083,0.01053286301369863
2023-04-24 03:00:00,0.6993464052287581,0.013862745098039215,0.106,0.21207843137254903,2.5452911113784316,0.013832993464052288
2023-04-24 04:00:00,0.564935064935065,0.005396103896103897,0.0762922077922078,0.12838311688311688,2.030223081607792,0.005397318181818182
2023-04-24 05:00:00,0.6783625730994152,0.012111111111111112,0.08426315789473685,0.32173099415204676,2.4674681476304094,0.012143204678362572
2023-04-24 06:00:00,0.5439560439560439,0.008307692307692308,0.10701648351648352,0.15781868131868132,-4.020041053610989,0.0083170989010989
2023-04-24 07:00:00,0.6,0.012278787878787877,0.19453333333333334,0.1809090909090909,8.533722455037575,0.01227649090909091
2023-04-24 08:00:00,0.5337078651685393,0.010258426966292136,0.1305,0.210438202247191,44.51708180732304,0.010236983146067415
2023-04-24 09:00:00,0.8855721393034826,0.027920398009950248,0.08450248756218905,0.4275323383084577,1.13621464329801,0.02793691044776119
2023-04-24 10:00:00,0.4304635761589404,0.03462913907284768,0.11291390728476822,0.43916556291390724,-1.6512121599754968,0.03460077483443709
2023-04-24 11:00:00,0.4857142857142857,0.29949285714285717,0.6549642857142858,8.735457142857143,1.3948144472528572,0.2996461642857143
2023-04-24 12:00:00,0.24444444444444444,0.23195555555555558,1.0311444444444444,1.9167722222222223,5.675146157576667,0.23206776666666667
2023-04-24 13:00:00,0.41916167664670656,0.03392814371257485,0.11055688622754492,0.4112814371257485,-0.4721096857137725,0.0339244251497006
2023-04-24 14:00:00,-0.17006802721088435,0.018673469387755104,0.13863945578231293,0.20787074829931973,-0.6551206513122448,0.01868087755102041
2023-04-24 15:00:00,-0.08552631578947369,0.01168421052631579,0.15413157894736843,0.24954605263157892,2.6036725401671053,0.011676881578947368
2023-04-24 16:00:00,-0.2536231884057971,0.0387463768115942,0.07989855072463768,0.6213478260869565,0.25527292724492756,0.03871208695652174
2023-04-24 17:00:00,-0.2578947368421053,0.036699999999999997,0.11218947368421052,0.8153315789473685,-0.5460755438478947,0.03669588421052632
2023-04-24 18:00:00,-1.1071428571428572,0.018377551020408164,0.0900408163265306,0.3548316326530612,-0.7735422058382653,0.018349775510204083
2023-04-24 19:00:00,-1.3137254901960784,0.11048366013071895,0.531281045751634,0.9361241830065358,1.2973334747045753,0.1105189477124183
2023-04-24 20:00:00,-8.173652694610778,0.015479041916167665,0.09139520958083833,0.31036526946107784,1.1514494649832336,0.01550143113772455
