,_id,deviceType,deviceFirmwareVersion,deviceMACAddress,deviceAnimalID,__v
0,62d56cc2e71f68426833cc74,CARAVANA,2222,BC27B1A003FE,640f6ef10c8f4c1edc6767e4,0
1,62d6e9fc0408c608acb6fe31,CARAVANA,2222,E0402C1C41C3,642354190dac5500301350d0,0
2,62d99152a30a66002645c414,CARAVANA,2222,D8C5EB08B8C4,640f6ef10c8f4c1edc67680e,0
3,62d9a95f0223ce002612b082,CARAVANA,2222,76C16507C7F1,62d9a9400223ce002612b065,0
4,62d9ad5d0223ce002612b4e5,CARAVANA,2222,14D06B0EA2EE,638660af3039cf00301d200e,0
5,62d9ae0f0223ce002612b563,CARAVANA,2222,D9F4EE08E1DA,62d9adf10223ce002612b546,0
6,62d9ae6b0223ce002612b59b,CARAVANA,2222,F37C1F3D76E1,62d9ae270223ce002612b57e,0
7,62de77613c3f510026f25669,CARAVANA,2222,EA1AB896ABEA,62de77333c3f510026f2564a,0
8,62f52bee401c510025e01f29,COLLAR,2.0.0,0004A30B00F82BD2,62d6e9920408c608acb6fdd0,0
9,62d9802ea30a66002645b7b3,CARAVANA,2222,154B4B13DBDA,62d98009a30a66002645b744,0
10,62d98d77a30a66002645c221,CARAVANA,2222,6826B88008FC,62d98d56a30a66002645c1ff,0
11,62d990cba30a66002645c3de,CARAVANA,2222,383C9FC5BEF9,62d990a8a30a66002645c3c1,0
12,62d994cea30a66002645c4b3,CARAVANA,2222,E8992654F1E2,62d9948ba30a66002645c480,0
13,62d9ac200223ce002612b3d3,CARAVANA,2222,A722E78120C0,62d9abf50223ce002612b3b6,0
14,62d98ed1a30a66002645c2e6,CARAVANA,2222,D1A5E6927CD1,638660af3039cf00301d2000,0
15,62d99562a30a66002645c4f6,CARAVANA,2222,B31CAFD9EEE3,62d99512a30a66002645c4db,0
16,62d9a8ae0223ce002612b008,CARAVANA,2222,06B4FBACC1E8,62d9a88c0223ce002612afed,0
17,62d9aad30223ce002612b35b,CARAVANA,2222,118B3BB8E7EB,62d9aa800223ce002612b336,0
18,62d9aba30223ce002612b39d,CARAVANA,2222,F356641DB6D3,62d9ab7e0223ce002612b37e,0
19,62d9aeca0223ce002612b5da,CARAVANA,2222,16F549FB05C6,62d9ae9d0223ce002612b5b6,0
20,62d98df8a30a66002645c2a8,CARAVANA,2222,A7AA2D0FF0F3,62d98db9a30a66002645c287,0
21,62d9906ca30a66002645c3a8,CARAVANA,2222,FC86258EA9FD,62d99045a30a66002645c384,0
22,62d9a9120223ce002612b044,CARAVANA,2222,E0CC95C9A2DA,62d9a8ee0223ce002612b023,0
23,62d9aa040223ce002612b0f0,CARAVANA,2222,991EA9D45EF7,62d9a9e10223ce002612b0d3,0
24,62d9ac760223ce002612b41b,CARAVANA,2222,A7E0CB5ACBE0,62d9ac5d0223ce002612b400,0
25,62d9acd30223ce002612b453,CARAVANA,2222,1D96FE9FFEF4,62d9acb50223ce002612b438,0
26,62d9adca0223ce002612b52a,CARAVANA,2222,4117145F01F4,62d9ad880223ce002612b4ff,0
27,62dac6cae95cd50025ecf613,CARAVANA,2222,FC0880B82668,62dac69ae95cd50025ecf5f8,0
28,62dac826e95cd50025ecf6b6,CARAVANA,2222,DCD422D6C1E2,62d9a7b10223ce002612afb3,0
29,62f52cd3401c510025e01f60,COLLAR,2.0.0,0004A30B00EE959D,62d6ea330408c608acb6fe4e,0
30,63569644c46ea71ff0abd56a,CARAVANA,2222,2809E2052BC0,62d98f17a30a66002645c2ff,0
31,63582c0cfc71f10030756c4c,CARAVANA,2222,A0624E1427FD,62cfe1b4b8f04b47003be2c6,0
32,6373ea33e5ab530030692089,CARAVANA,2222,0DA752E009EF,62d98c2ca30a66002645be9d,0
33,6386608e3039cf00301d1fc7,PUNTO FIJO,2222,0004A30B00F82747,638f46a8a5c1673814c1f7e2,0
34,638660a23039cf00301d1ff7,PUNTO FIJO,2222,0004A30B00F82E9C,638f557947b80d0025f05eaa,0
35,638660af3039cf00301d200d,COLLAR,2222,0004A30B00F825B7,638660af3039cf00301d200e,0
36,6386616d3039cf00301d20e9,PUNTO FIJO,2222,0004A30B00F88969,638f559b47b80d0025f05f02,0
37,638f7f2f3feed4114c00428b,COLLAR,2222,22222,62d98f17a30a66002645c2ff,0
38,62d97f5fa30a66002645b52a,CARAVANA,2222,C4E890CC7FEC,62d97f14a30a66002645b50b,0
39,63d283ab695091f316b274ea,CARAVANA,2222,0000000000000000,63d282ea695091f316b274cf,0
40,63e64b9922ee080030ba889f,CARAVANA,2222,86395D2360F6,63e64b9822ee080030ba889b,0
41,63ee8291476a9d0030806795,COLLAR,2.2.03,C98BB10944DE,640f6ef10c8f4c1edc67680d,0
42,63f66d0cd3575e0030304d6d,COLLAR,2.1.0,11111111111,63f66cc4d3575e0030304d2c,0
43,63ed0aeaa9f1a40025793c21,CARAVANA,2.2.0,08C53A4833D1,63ed0ae9a9f1a40025793c1d,0
44,63ed0b15a9f1a40025793c56,CARAVANA,2.2.0,2954A72396EE,63ed0b15a9f1a40025793c52,0
45,63ed0b7aa9f1a40025793c86,CARAVANA,2.2.0,BAD710DBC0C1,63ed0b7aa9f1a40025793c82,0
46,63ed0b8da9f1a40025793cea,CARAVANA,2.2.0,20B9380BC0F7,63ed0b8da9f1a40025793ce6,0
47,63ed0b93a9f1a40025793d18,CARAVANA,2.2.0,25F5F860ABDF,63ed0b93a9f1a40025793d0f,0
48,63ed0baea9f1a40025793d84,CARAVANA,2.2.0,CF5D8CA2B8CD,63ed0baea9f1a40025793d80,0
49,63ed0bb4a9f1a40025793dba,CARAVANA,2.2.0,5F262EEC78F2,63ed0bb3a9f1a40025793db5,0
50,63ed0bcba9f1a40025793e1e,CARAVANA,2.2.0,4615377A46C1,63ed0bcba9f1a40025793e1a,0
51,63ed0bcda9f1a40025793e2d,CARAVANA,2.2.0,F55CF5354FDE,63ed0bcda9f1a40025793e28,0
52,63ed0be7a9f1a40025793eb8,CARAVANA,2.2.0,6159041263FE,63ed0be7a9f1a40025793eb4,0
53,63ed0beca9f1a40025793ee8,CARAVANA,2.2.0,67530DD427D3,63ed0beca9f1a40025793edd,0
54,63ed0c02a9f1a40025793f52,CARAVANA,2.2.0,D1C4646997EE,63ed0c02a9f1a40025793f4e,0
55,63ed0c16a9f1a40025793fb6,CARAVANA,2.2.0,95014CD4A0E4,63ed0c15a9f1a40025793fb2,0
56,63ed0c24a9f1a40025793fed,CARAVANA,2.2.0,FD08ACD5B3DF,63ed0c23a9f1a40025793fe9,0
57,63ed0c2ca9f1a4002579403a,CARAVANA,2.2.0,223D69D234E1,63ed0c2ca9f1a40025794036,0
58,63ed0c40a9f1a4002579409d,CARAVANA,2.2.0,A11106D736D2,63ed0c40a9f1a40025794099,0
59,63ed0c42a9f1a400257940aa,CARAVANA,2.2.0,1B5CFCC852C3,63ed0c42a9f1a400257940a4,0
60,63ed0c58a9f1a40025794136,CARAVANA,2.2.0,110FDB4D0ECB,63ed0c58a9f1a40025794132,0
61,63ed0c5ba9f1a40025794158,CARAVANA,2.2.0,BCC9B08375D9,63ed0c5ba9f1a40025794154,0
62,63ed0c69a9f1a400257941b7,CARAVANA,2.2.0,5B984F4C39CB,63ed0c69a9f1a400257941b3,0
63,63ed0ca3a9f1a4002579421e,CARAVANA,2.2.0,5C7B1E9456C9,63ed0ca3a9f1a4002579421a,0
64,63ed0d70a9f1a40025794287,CARAVANA,2.2.0,7A1219C43AFC,63ed0d70a9f1a40025794283,0
65,63ed0d7da9f1a400257942e2,CARAVANA,2.2.0,6A8EFBAD25E8,63ed0d7ca9f1a400257942d7,0
66,63ed0da5a9f1a40025794390,CARAVANA,2.2.0,8E8932514BFF,63ed0da5a9f1a4002579438c,0
67,63ed0da6a9f1a4002579439b,CARAVANA,2.2.0,9259B9538BCB,63ed0da6a9f1a40025794397,0
68,63ed0dc6a9f1a4002579442b,CARAVANA,2.2.0,2F1BE92442D2,63ed0dc6a9f1a40025794427,0
69,63ed0dc9a9f1a4002579444b,CARAVANA,2.2.0,3161E1A82FCF,63ed0dc9a9f1a40025794444,0
70,63ed0ddca9f1a400257944c4,CARAVANA,2.2.0,3613717994DE,63ed0ddca9f1a400257944c0,0
71,63ed0deea9f1a4002579452a,CARAVANA,2.2.0,2DB65C0391ED,63ed0deda9f1a40025794525,0
72,63ed0df3a9f1a40025794538,CARAVANA,2.2.0,3C7CC3550FC5,63ed0df3a9f1a40025794534,0
73,63ed0e08a9f1a4002579459e,CARAVANA,2.2.0,BF92016287C3,63ed0e08a9f1a4002579459a,0
74,63ed0e0fa9f1a400257945d3,CARAVANA,2.2.0,4D81A80A7FDC,63ed0e0fa9f1a400257945cf,0
75,63ed0e1ca9f1a40025794620,CARAVANA,2.2.0,E65B1EC160EC,63ed0e1ca9f1a4002579461c,0
76,63ed0e26a9f1a40025794677,CARAVANA,2.2.0,EEE0DD48D9CA,63ed0e26a9f1a4002579466e,0
77,63ed0e2da9f1a400257946b8,CARAVANA,2.2.0,F21848EDE6C9,63ed0e2da9f1a400257946b4,0
78,63ed0e3da9f1a40025794706,CARAVANA,2.2.0,9283B2A431FC,63ed0e3da9f1a40025794702,0
79,63ed0e4ea9f1a4002579476a,CARAVANA,2.2.0,9025A1997FFC,63ed0e4ea9f1a40025794766,0
80,63ed0e51a9f1a40025794779,CARAVANA,2.2.0,F56FFBD443CB,63ed0e50a9f1a40025794775,0
81,63ed0e61a9f1a40025794803,CARAVANA,2.2.0,165BB0E730F6,63ed0e61a9f1a400257947ff,0
82,63ed0e62a9f1a40025794810,CARAVANA,2.2.0,885F3EA31ED6,63ed0e62a9f1a4002579480a,0
83,63ed0e72a9f1a4002579489c,CARAVANA,2.2.0,8B3DF61BBCC7,63ed0e71a9f1a40025794898,0
84,63ed0e73a9f1a400257948ab,CARAVANA,2.2.0,4DF83DE59CD8,63ed0e73a9f1a400257948a6,0
85,63ed0e82a9f1a40025794935,CARAVANA,2.2.0,EEE3EFB01DDE,63ed0e82a9f1a40025794931,0
86,63ed0e85a9f1a40025794951,CARAVANA,2.2.0,7CE9E21183CB,63ed0e85a9f1a4002579494b,0
87,63ed0e91a9f1a400257949d5,CARAVANA,2.2.0,B7C273688BD3,63ed0e90a9f1a400257949d1,0
88,63ed0ea0a9f1a40025794a57,CARAVANA,2.2.0,82D40C858EFC,63ed0ea0a9f1a40025794a4e,0
89,63ed0eb1a9f1a40025794ac1,CARAVANA,2.2.0,CDED7C7A97D7,63ed0eb1a9f1a40025794abd,0
90,63ed0eb2a9f1a40025794acc,CARAVANA,2.2.0,221061784EE7,63ed0eb2a9f1a40025794ac8,0
91,63ed0ec8a9f1a40025794b5b,CARAVANA,2.2.0,BE09A4C254C4,63ed0ec7a9f1a40025794b57,0
92,63ed0ec9a9f1a40025794b66,CARAVANA,2.2.0,696BE807BACB,63ed0ec9a9f1a40025794b62,0
93,63ed0ed9a9f1a40025794bf7,CARAVANA,2.2.0,0999D86AB7E8,63ed0ed9a9f1a40025794bf3,0
94,63ed0edba9f1a40025794c0d,CARAVANA,2.2.0,7797A90437ED,63ed0edba9f1a40025794c04,0
95,63ed0eeaa9f1a40025794c7b,CARAVANA,2.2.0,AE67748310E2,63ed0eeaa9f1a40025794c77,0
96,63ed0eeca9f1a40025794c86,CARAVANA,2.2.0,C0D8868844F4,63ed0eeba9f1a40025794c82,0
97,63ed0efba9f1a40025794d07,CARAVANA,2.2.0,E4E8B9931CE2,63ed0efba9f1a40025794d03,0
98,63ed0efca9f1a40025794d14,CARAVANA,2.2.0,04801595D6D9,63ed0efca9f1a40025794d0e,0
99,63ed0f0da9f1a40025794da2,CARAVANA,2.2.0,5A6DC37A75C9,63ed0f0ca9f1a40025794d9c,0
100,63ed0f0da9f1a40025794dab,CARAVANA,2.2.0,1B1C4496EAF2,63ed0f0da9f1a40025794da6,0
101,63ed0f1ca9f1a40025794e3a,CARAVANA,2.2.0,F80701E23AE7,63ed0f1ca9f1a40025794e36,0
102,63ed0f1ea9f1a40025794e48,CARAVANA,2.2.0,E88BAFC0A3E4,63ed0f1ea9f1a40025794e41,0
103,63ed0f2ba9f1a40025794ea8,CARAVANA,2.2.0,9EF540DABBD8,63ed0f2ba9f1a40025794ea4,0
104,63ed0f3ba9f1a40025794f11,CARAVANA,2.2.0,4365F34D85F6,63ed0f3ba9f1a40025794f09,0
105,63ed0f3ba9f1a40025794f17,CARAVANA,2.2.0,44BE832F91EC,63ed0f3ba9f1a40025794f0e,0
106,63ed0f4ca9f1a40025794fa5,CARAVANA,2.2.0,FA40DF6AA1DB,63ed0f4ca9f1a40025794fa1,0
107,63ed0f4ea9f1a40025794fb4,CARAVANA,2.2.0,16C210A0D8C9,63ed0f4ea9f1a40025794fb0,0
108,63ed0f5ea9f1a40025795024,CARAVANA,2.2.0,B7ED8064C2DB,63ed0f5ea9f1a40025795020,0
109,63ed0f6fa9f1a4002579508f,CARAVANA,2.2.0,8B9C178818C4,63ed0f6ea9f1a40025795087,0
110,63ed0f6fa9f1a40025795091,CARAVANA,2.2.0,3F5A324311D9,63ed0f6ea9f1a40025795089,0
111,63ed0f7da9f1a400257950fb,CARAVANA,2.2.0,1EDE65B975F6,63ed0f7da9f1a400257950f5,0
112,63ed0f86a9f1a40025795142,CARAVANA,2.2.0,7ABD42C24CF0,63ed0f86a9f1a4002579513e,0
113,63ed0f93a9f1a400257951ad,CARAVANA,2.2.0,503A759AA0CB,63ed0f93a9f1a400257951a9,0
114,63ed0f98a9f1a400257951cf,CARAVANA,2.2.0,CDA3E1841FFE,63ed0f98a9f1a400257951cb,0
115,63ed0fa8a9f1a4002579524c,CARAVANA,2.2.0,102146D4F1C3,63ed0fa8a9f1a40025795244,0
116,63ed0fa8a9f1a4002579524e,CARAVANA,2.2.0,D8E8DA4307DA,63ed0fa8a9f1a40025795246,0
117,63ed0fb9a9f1a400257952dd,CARAVANA,2.2.0,2F4722123ECB,63ed0fb9a9f1a400257952d9,0
118,63ed0fbca9f1a400257952f3,CARAVANA,2.2.0,8D906A4D10C4,63ed0fbca9f1a400257952ea,0
119,63ed0fcca9f1a4002579538a,CARAVANA,2.2.0,05EC3AF8C5D2,63ed0fcca9f1a40025795386,0
120,63ed0fd9a9f1a400257953da,CARAVANA,2.2.0,FC80ADA2A2EA,63ed0fd9a9f1a400257953d6,0
121,63ed0fdea9f1a4002579540c,CARAVANA,2.2.0,8C6D2ED9FBF0,63ed0fdea9f1a40025795404,0
122,63ed0feca9f1a40025795473,CARAVANA,2.2.0,450A7A0CF9DE,63ed0feca9f1a4002579546f,0
123,63ed0feea9f1a40025795487,CARAVANA,2.2.0,3FE15BE7A1FC,63ed0feea9f1a4002579547e,0
124,63ed1001a9f1a400257954cc,CARAVANA,2.2.0,B8044647D9DF,63ed1001a9f1a400257954c8,0
125,63ed1012a9f1a40025795517,CARAVANA,2.2.0,A876F519F4EE,63ed1012a9f1a40025795513,0
