count,_id,auravant,virtualFenceGeoPoints,name,geoPoints,batchNumber,forage,specie,antiquity,quality,__v,hectares,color,lat,lng,auravant_name,auravant_auravantPlotId,auravant_auravantSettlId,latitud,longitud,id_geoPoint
10,63b44379973f9f35c0c5ab3b,,[],potrero dashboard,"[{'_id': ObjectId('63b44379973f9f35c0c5ab3c'), 'lat': -35.71502458955929, 'lng': -59.77550246151626}, {'_id': ObjectId('63b44379973f9f35c0c5ab3d'), 'lat': -35.707219089534064, 'lng': -59.65465285214126}, {'_id': ObjectId('63b44379973f9f35c0c5ab3e'), 'lat': -35.77409856497229, 'lng': -59.70683791073501}]",123456,GRAMINEAS,Raigrás Perenne,3,MUY BUENO,0.0,,,,,,,,-35.71502458955929,-59.77550246151626,63b44379973f9f35c0c5ab3c
11,63b443fd973f9f35c0c5abf2,,"[[{'_id': ObjectId('63b445cb973f9f35c0c5acc5'), 'lat': -32.85201990379254, 'lng': -63.633365546398814}, {'_id': ObjectId('63b445cb973f9f35c0c5acc6'), 'lat': -32.85194779959653, 'lng': -63.63044730299061}, {'_id': ObjectId('63b445cb973f9f35c0c5acc7'), 'lat': -32.85317356295978, 'lng': -63.631820594006236}, {'_id': ObjectId('63b445cb973f9f35c0c5acc8'), 'lat': -32.85238042389367, 'lng': -63.63173476331776}, {'_id': ObjectId('63b445cb973f9f35c0c5acc9'), 'lat': -32.852416475823205, 'lng': -63.632335578137095}]]",test,"[{'_id': ObjectId('63b443fd973f9f35c0c5abf3'), 'lat': -32.85201990379254, 'lng': -63.633365546398814}, {'_id': ObjectId('63b443fd973f9f35c0c5abf4'), 'lat': -32.85194779959653, 'lng': -63.63044730299061}, {'_id': ObjectId('63b443fd973f9f35c0c5abf5'), 'lat': -32.85317356295978, 'lng': -63.631820594006236}]",123415,LEGUMINOSAS,Alfalfa con reposo intermedio,3,EXCELENTE,0.0,,,,,,,,-32.85201990379254,-63.633365546398814,63b443fd973f9f35c0c5abf3
12,63b55aa9973f9f35c0c5b084,,[],prueba1,"[{'_id': ObjectId('63b55aa9973f9f35c0c5b085'), 'lat': -35.0678279957036, 'lng': -59.791470784581456}, {'_id': ObjectId('63b55aa9973f9f35c0c5b086'), 'lat': -35.06670398709106, 'lng': -59.78717925015763}, {'_id': ObjectId('63b55aa9973f9f35c0c5b087'), 'lat': -35.07176190395224, 'lng': -59.788037557042394}]",123456,GRAMINEAS,Raigrás Perenne,4,EXCELENTE,0.0,,,,,,,,-35.0678279957036,-59.791470784581456,63b55aa9973f9f35c0c5b085
13,63b55ac5973f9f35c0c5b0be,,[],potrero1658,"[{'_id': ObjectId('63b55ac5973f9f35c0c5b0bf'), 'lat': -35.06719574276362, 'lng': -59.776278752721105}, {'_id': ObjectId('63b55ac5973f9f35c0c5b0c0'), 'lat': -35.0677577456188, 'lng': -59.76520659390763}, {'_id': ObjectId('63b55ac5973f9f35c0c5b0c1'), 'lat': -35.07197264368581, 'lng': -59.7719013876088}]",1364,LEGUMINOSAS,Alfalfa sin reposo invernal,4,EXCELENTE,0.0,,,,,,,,-35.06719574276362,-59.776278752721105,63b55ac5973f9f35c0c5b0bf
14,63b55f4b973f9f35c0c5b37d,,"[[{'_id': ObjectId('6419ff60de5de32248c9396b'), 'lat': -32.85408180172779, 'lng': -63.64220852622339}, {'_id': ObjectId('6419ff60de5de32248c9396c'), 'lat': -32.85422600655002, 'lng': -63.64292735822027}, {'_id': ObjectId('6419ff60de5de32248c9396d'), 'lat': -32.85442428785281, 'lng': -63.642723510338406}, {'_id': ObjectId('6419ff60de5de32248c9396e'), 'lat': -32.85532556091687, 'lng': -63.64286298520495}, {'_id': ObjectId('6419ff60de5de32248c9396f'), 'lat': -32.855766166240244, 'lng': -63.640601883041136}, {'_id': ObjectId('6419ff60de5de32248c93970'), 'lat': -32.854992041295986, 'lng': -63.638994518540414}, {'_id': ObjectId('6419ff60de5de32248c93971'), 'lat': -32.853261542077924, 'lng': -63.63850428183344}, {'_id': ObjectId('6419ff60de5de32248c93972'), 'lat': -32.85297239943772, 'lng': -63.6399918878165}, {'_id': ObjectId('6419ff60de5de32248c93973'), 'lat': -32.852374508262244, 'lng': -63.63993355032077}, {'_id': ObjectId('6419ff60de5de32248c93974'), 'lat': -32.8542635007571, 'lng': -63.64151952292454}]]",potrero 1,"[{'_id': ObjectId('63dfcf982fc970002f389d4e'), 'lat': -32.85202685693447, 'lng': -63.64173645743678}, {'_id': ObjectId('63dfcf982fc970002f389d4f'), 'lat': -32.85422600655002, 'lng': -63.64292735822027}, {'_id': ObjectId('63dfcf982fc970002f389d50'), 'lat': -32.85442428785281, 'lng': -63.642723510338406}, {'_id': ObjectId('63dfcf982fc970002f389d51'), 'lat': -32.85532556091687, 'lng': -63.64286298520495}, {'_id': ObjectId('63dfcf982fc970002f389d52'), 'lat': -32.855766166240244, 'lng': -63.640601883041136}, {'_id': ObjectId('63dfcf982fc970002f389d53'), 'lat': -32.854992041295986, 'lng': -63.638994518540414}, {'_id': ObjectId('63dfcf982fc970002f389d54'), 'lat': -32.853261542077924, 'lng': -63.63850428183344}, {'_id': ObjectId('63dfcf982fc970002f389d55'), 'lat': -32.85297239943772, 'lng': -63.6399918878165}, {'_id': ObjectId('63dfcf982fc970002f389d56'), 'lat': -32.852374508262244, 'lng': -63.63993355032077}, {'_id': ObjectId('63dfcf982fc970002f389d57'), 'lat': -32.851992247868274, 'lng': -63.64177701498996}]",1231,LEGUMINOSAS,Alfalfa con reposo intermedio,6,Seleccione una opción,0.0,11.72,#b0bc00,,,,,,-32.85202685693447,-63.64173645743678,63dfcf982fc970002f389d4e
15,63b55f4b973f9f35c0c5b390,,"[[{'_id': ObjectId('6419ff73de5de32248c93989'), 'lat': -32.856105, 'lng': -63.64061}, {'_id': ObjectId('6419ff73de5de32248c9398a'), 'lat': -32.85693382166465, 'lng': -63.63948340209959}, {'_id': ObjectId('6419ff73de5de32248c9398b'), 'lat': -32.857006, 'lng': -63.638883}, {'_id': ObjectId('6419ff73de5de32248c9398c'), 'lat': -32.855979, 'lng': -63.634291}, {'_id': ObjectId('6419ff73de5de32248c9398d'), 'lat': -32.855195, 'lng': -63.638776}]]",Bajo 11+Agropiro,"[{'_id': ObjectId('63b55f4b973f9f35c0c5b391'), 'lat': -32.856105, 'lng': -63.64061}, {'_id': ObjectId('63b55f4b973f9f35c0c5b392'), 'lat': -32.860719, 'lng': -63.641715}, {'_id': ObjectId('63b55f4b973f9f35c0c5b393'), 'lat': -32.857006, 'lng': -63.638883}, {'_id': ObjectId('63b55f4b973f9f35c0c5b394'), 'lat': -32.855979, 'lng': -63.634291}, {'_id': ObjectId('63b55f4b973f9f35c0c5b395'), 'lat': -32.855195, 'lng': -63.638776}]",13245,MEZCLAS (BINARIAS Y POLIFITICAS),Festuca y trébol rojo,5,MUY BUENO,0.0,10.61,#68bc00,-32.855195,-63.638776,,,,-32.856105,-63.64061,63b55f4b973f9f35c0c5b391
16,63d1131052372700318519bd,,"[[{'_id': ObjectId('6419fb4ade5de32248c935d0'), 'lat': -32.862589487674704, 'lng': -63.63396878016066}, {'_id': ObjectId('6419fb4ade5de32248c935d1'), 'lat': -32.85975969116579, 'lng': -63.633024642587415}, {'_id': ObjectId('6419fb4ade5de32248c935d2'), 'lat': -32.85779500227598, 'lng': -63.63285298121046}, {'_id': ObjectId('6419fb4ade5de32248c935d3'), 'lat': -32.856965854458274, 'lng': -63.63062138331007}, {'_id': ObjectId('6419fb4ade5de32248c935d4'), 'lat': -32.85959747079553, 'lng': -63.63010639917921}, {'_id': ObjectId('6419fb4ade5de32248c935d5'), 'lat': -32.86358079630817, 'lng': -63.63308901560377}]]",Lote Trigo,"[{'_id': ObjectId('63dfe3762fc970002f38a1f6'), 'lat': -32.86352672521387, 'lng': -63.636286208749524}, {'_id': ObjectId('63dfe3762fc970002f38a1f7'), 'lat': -32.856353001090355, 'lng': -63.63414044153761}, {'_id': ObjectId('63dfe3762fc970002f38a1f8'), 'lat': -32.856965854458274, 'lng': -63.63062138331007}, {'_id': ObjectId('63dfe3762fc970002f38a1f9'), 'lat': -32.85959747079553, 'lng': -63.63010639917921}, {'_id': ObjectId('63dfe3762fc970002f38a1fa'), 'lat': -32.86358079630817, 'lng': -63.63308901560377}]",33,GRAMINEAS,Cebadilla,4,MUY BUENO,0.0,30.05,#8db42f,,,,,,-32.86352672521387,-63.636286208749524,63dfe3762fc970002f38a1f6
17,63d116f85237270031851aad,,"[[{'_id': ObjectId('63d116f85237270031851aae'), 'lat': -33.128248696682746, 'lng': -64.34910829112087}, {'_id': ObjectId('63d116f85237270031851aaf'), 'lat': -33.12817681779744, 'lng': -64.34872205302273}, {'_id': ObjectId('63d116f85237270031851ab0'), 'lat': -33.12840143911861, 'lng': -64.34879715487514}]]",update test,"[{'_id': ObjectId('63d116f85237270031851aae'), 'lat': -33.128248696682746, 'lng': -64.34910829112087}, {'_id': ObjectId('63d116f85237270031851aaf'), 'lat': -33.12817681779744, 'lng': -64.34872205302273}, {'_id': ObjectId('63d116f85237270031851ab0'), 'lat': -33.12840143911861, 'lng': -64.34879715487514}]",q13,GRAMINEAS,Cebadilla,3,BUENO,0.0,0.04,,,,,,,-33.128248696682746,-64.34910829112087,63d116f85237270031851aae
18,63d119285237270031851b28,,[],update test44,"[{'_id': ObjectId('63d119285237270031851b29'), 'lat': -33.12847841225125, 'lng': -64.34904175189762}, {'_id': ObjectId('63d119285237270031851b2a'), 'lat': -33.12859521500874, 'lng': -64.34861796287326}, {'_id': ObjectId('63d119285237270031851b2b'), 'lat': -33.12870752520594, 'lng': -64.34882717517642}]",123,LEGUMINOSAS,Alfalfa con reposo intermedio,1,EXCELENTE,0.0,0.04,,,,,,,-33.12847841225125,-64.34904175189762,63d119285237270031851b29
19,63da53b682d2435d0ec7bf9b,,[],lote 1,"[{'_id': ObjectId('63da53b682d2435d0ec7bf9c'), 'lat': -32.98272181111454, 'lng': -68.77623265407233}, {'_id': ObjectId('63da53b682d2435d0ec7bf9d'), 'lat': -32.98274206048391, 'lng': -68.77608647368102}, {'_id': ObjectId('63da53b682d2435d0ec7bf9e'), 'lat': -32.982843307261035, 'lng': -68.77612402460723}]",1234,MEZCLAS (BINARIAS Y POLIFITICAS),Festuca y trébol rojo,2,MUY BUENO,0.0,0.0,,,,,,,-32.98272181111454,-68.77623265407233,63da53b682d2435d0ec7bf9c
