,_id,settlementId,ITH,createdAt,updatedAt,__v
0,62c7f1aedb5dcb31707223a8,620e6e5e60543d0026a01f0e,85.0,2022-07-08 08:58:22.542,2022-07-08 08:58:22.542,0
1,62cd3f774e549d1fa8a49127,620e6e5e60543d0026a01f0e,40.0,2022-07-12 09:31:35.287,2022-07-12 09:31:35.287,0
2,62cac4e7f7ba57581cc7333a,620e6e5e60543d0026a01f0e,85.0,2022-07-10 12:24:07.766,2022-07-10 12:24:07.766,0
3,62cac5dd9a70241d101c8044,620e6e5e60543d0026a01f0e,0.0,2022-07-10 12:28:19.056,2022-07-10 12:28:19.056,0
4,62cac836ea09d2322467a8c3,620e6e5e60543d0026a01f0e,51.0,2022-07-10 12:38:29.590,2022-07-10 12:38:29.590,0
5,62caccdde95b3f0bc8d0a3b4,620e6e5e60543d0026a01f0e,55.0,2022-07-10 12:58:05.084,2022-07-10 12:58:05.084,0
6,62cad3c2d7410a52706570cc,620e6e5e60543d0026a01f0e,55.0,2022-07-10 13:27:30.911,2022-07-10 13:27:30.911,0
7,62cec1d1d74a6600250364f6,620e6e5e60543d0026a01f0e,51.0,2022-07-13 13:00:01.894,2022-07-13 13:00:01.894,0
8,62cefa1042eaeb002598211b,620e6e5e60543d0026a01f0e,61.0,2022-07-13 17:00:00.997,2022-07-13 17:00:00.997,0
9,62cf4061792f9000254e426b,620e6e5e60543d0026a01f0e,58.0,2022-07-13 22:00:01.196,2022-07-13 22:00:01.196,0
10,62cf5c81792f9000254e42ec,620e6e5e60543d0026a01f0e,56.0,2022-07-14 00:00:01.192,2022-07-14 00:00:01.192,0
11,62cfbef1792f9000254e430a,620e6e5e60543d0026a01f0e,45.0,2022-07-14 07:00:01.348,2022-07-14 07:00:01.348,0
12,62cfcd00792f9000254e430e,620e6e5e60543d0026a01f0e,44.0,2022-07-14 08:00:00.867,2022-07-14 08:00:00.867,0
13,62cff731792f9000254e431a,620e6e5e60543d0026a01f0e,42.0,2022-07-14 11:00:01.791,2022-07-14 11:00:01.791,0
14,62d067b12b36e200257da916,620e6e5e60543d0026a01f0e,64.0,2022-07-14 19:00:01.616,2022-07-14 19:00:01.616,0
15,62d083d19d66bf0025bd2878,620e6e5e60543d0026a01f0e,61.0,2022-07-14 21:00:01.329,2022-07-14 21:00:01.329,0
16,62d0ae017416e00025dba941,620e6e5e60543d0026a01f0e,52.0,2022-07-15 00:00:01.555,2022-07-15 00:00:01.555,0
17,62d0bc117416e00025dba945,620e6e5e60543d0026a01f0e,51.0,2022-07-15 01:00:01.107,2022-07-15 01:00:01.107,0
18,62d0ca217416e00025dba94d,620e6e5e60543d0026a01f0e,50.0,2022-07-15 02:00:01.725,2022-07-15 02:00:01.725,0
